Date,Forecasted_Quantity,Lower_CI,Upper_CI
22-03-2024,5.461188179,-2.811214335,13.73359069
23-03-2024,5.460756677,-2.840869453,13.76238281
24-03-2024,5.515868146,-2.814636645,13.84637294
25-03-2024,5.614355114,-2.746269842,13.97498007
26-03-2024,5.631544705,-2.757870999,14.02096041
27-03-2024,5.679111882,-2.738156911,14.09638068
28-03-2024,5.779718198,-2.666212084,14.22564848
29-03-2024,5.803716219,-2.669624982,14.27705742
30-03-2024,5.83466245,-2.664681072,14.33400597
31-03-2024,5.923459228,-2.602322946,14.4492414
01-04-2024,5.943819664,-2.607338812,14.49497814
02-04-2024,5.950898282,-2.623981825,14.52577839
03-04-2024,6.016039085,-2.582762712,14.61484088
04-04-2024,6.025121863,-2.596797569,14.64704129
05-04-2024,6.003772987,-2.63964035,14.64718632
06-04-2024,6.038604598,-2.626357992,14.70356719
07-04-2024,6.031960669,-2.654109124,14.71803046
08-04-2024,5.982702523,-2.723053134,14.68845818
09-04-2024,5.985955644,-2.739510641,14.71142193
10-04-2024,5.963668111,-2.781475156,14.70881138
11-04-2024,5.892215573,-2.871486946,14.65591809
12-04-2024,5.867772062,-2.914582262,14.65012639
13-04-2024,5.834774634,-2.966586944,14.63613621
14-04-2024,5.750635826,-3.068989641,14.57026129
15-04-2024,5.707211518,-3.130867084,14.54529012
16-04-2024,5.671586734,-3.185660822,14.52883429
17-04-2024,5.586858147,-3.289198662,14.46291496
18-04-2024,5.535948701,-3.359195501,14.4310929
19-04-2024,5.507072578,-3.408177952,14.42232311
20-04-2024,5.434414938,-3.500923261,14.36975314
21-04-2024,5.38770029,-3.56805732,14.3434579
22-04-2024,5.374416614,-3.602968729,14.35180196
23-04-2024,5.324429635,-3.674834291,14.32369356
24-04-2024,5.291742625,-3.729700552,14.3131858
25-04-2024,5.300156761,-3.74471127,14.34502479
26-04-2024,5.279499192,-3.789201418,14.3481998
27-04-2024,5.266972635,-3.82571601,14.35966128
28-04-2024,5.298885437,-3.81890099,14.41667186
29-04-2024,5.309189032,-3.834114615,14.45249268
30-04-2024,5.318014386,-3.850713911,14.48674268
01-05-2024,5.370491806,-3.824464355,14.56544797
02-05-2024,5.407965768,-3.813517852,14.62944939
03-05-2024,5.434412435,-3.813193251,14.68201812
04-05-2024,5.500155747,-3.773953561,14.77426506
05-05-2024,5.556328368,-3.744381617,14.85703835
06-05-2024,5.592740535,-3.733852837,14.91933391
07-05-2024,5.661325681,-3.691089782,15.01374114
08-05-2024,5.724781288,-3.653334314,15.10289689
