Date,dia,Quantity,Rate,Value,t,t_square,log_Quantity,April,August,December,February,January,July,June,March,May,November,October,September
2017-05-16,12 MM,10.190000000000001,42000.0,452760.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,1.99,43000.0,85570.0,1,1,0.688134638736401,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,4.24,41700.0,176808.0,1,1,1.4445632692438664,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,4.13,42200.0,174286.0,1,1,1.4182774069729414,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,0.41,41500.0,17015.0,1,1,-0.8915981192837836,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,6.67,42000.0,280140.0,1,1,1.8976198599275322,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,10.190000000000001,42000.0,455280.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-16,12 MM,5.41,42500.0,229925.0,1,1,1.6882490928583902,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-17,12 MM,2.96,43000.0,127280.0,1,1,1.085189268335969,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-17,12 MM,2.01,42700.0,85827.0,1,1,0.6981347220709843,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-17,12 MM,0.93,41200.0,38316.0,1,1,-0.07257069283483537,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-17,12 MM,2.94,42000.0,123480.0,1,1,1.0784095813505903,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-17,12 MM,3.21,42000.0,134820.0,1,1,1.1662709371419244,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-18,12 MM,4.94,41500.0,205010.0,1,1,1.5973653311998313,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-18,12 MM,5.26,42000.0,220920.0,1,1,1.6601310267496185,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-18,12 MM,3.94,43000.0,169420.0,1,1,1.3711807233098425,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-18,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-18,12 MM,4.0,42200.0,168800.0,1,1,1.3862943611198906,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-18,12 MM,10.190000000000001,39000.0,532740.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-19,12 MM,5.52,42000.0,231840.0,1,1,1.7083778602890038,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-19,12 MM,8.08,42000.0,339360.0,1,1,2.089391872533004,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-20,12 MM,7.86,41500.0,326190.0,1,1,2.061786606441115,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-20,12 MM,2.0,42200.0,84400.0,1,1,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-20,12 MM,7.71,42200.0,325362.0,1,1,2.0425181875752383,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-20,12 MM,3.0,43000.0,129000.0,1,1,1.0986122886681098,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-20,12 MM,1.01,42200.0,42622.0,1,1,0.009950330853168092,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-20,12 MM,10.190000000000001,39949.05,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,2.15,41750.0,89762.5,1,1,0.7654678421395714,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,4.35,42200.0,183570.0,1,1,1.4701758451005926,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,3.02,43000.0,129860.0,1,1,1.1052568313867783,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,4.01,42000.0,168420.0,1,1,1.3887912413184778,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,5.52,40571.43,223954.29,1,1,1.7083778602890038,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,5.28,42000.0,221760.0,1,1,1.6639260977181702,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-22,12 MM,5.21,42000.0,218820.0,1,1,1.6505798557652755,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-23,12 MM,5.29,40700.0,215303.0,1,1,1.665818245870208,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-23,12 MM,2.01,42200.0,84822.0,1,1,0.6981347220709843,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-23,12 MM,0.99,40800.0,40392.0,1,1,-0.01005033585350145,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-24,12 MM,1.95,42200.0,82290.0,1,1,0.6678293725756554,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-24,12 MM,1.02,42200.0,43044.0,1,1,0.01980262729617973,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-24,12 MM,10.190000000000001,42000.0,449820.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-24,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-25,12 MM,4.01,42700.0,171227.0,1,1,1.3887912413184778,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-25,12 MM,3.65,42200.0,154030.0,1,1,1.2947271675944,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-25,12 MM,0.17,40500.0,6885.0,1,1,-1.7719568419318752,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-25,12 MM,5.35,42000.0,224700.0,1,1,1.6770965609079151,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,2.01,42200.0,84822.0,1,1,0.6981347220709843,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,5.96,42000.0,250320.0,1,1,1.7850704810772584,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,1.0,42200.0,42200.0,1,1,0.0,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,3.26,42000.0,136920.0,1,1,1.1817271953786161,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,0.59,42000.0,24780.0,1,1,-0.527632742082372,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,0.33,43000.0,14190.0,1,1,-1.1086626245216111,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,1.99,43000.0,85570.0,1,1,0.688134638736401,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-27,12 MM,3.59,42000.0,150780.0,1,1,1.2781522025001875,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-29,12 MM,1.97,42000.0,82740.0,1,1,0.6780335427498971,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-29,12 MM,4.97,42200.0,209734.0,1,1,1.6034198401085373,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-29,12 MM,3.47,42000.0,145740.0,1,1,1.244154593958768,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-29,12 MM,1.6,42000.0,67200.0,1,1,0.47000362924573563,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-29,12 MM,10.190000000000001,42700.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-29,12 MM,0.5,42000.0,21000.0,1,1,-0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-29,12 MM,10.190000000000001,42000.0,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-30,12 MM,3.08,42200.0,129976.0,1,1,1.1249295969854831,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-30,12 MM,10.190000000000001,40500.0,533790.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-30,12 MM,5.36,40750.0,218420.0,1,1,1.6789639750827108,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-30,12 MM,2.1,43000.0,90300.0,1,1,0.7419373447293773,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-31,12 MM,3.96,42200.0,167112.0,1,1,1.3762440252663892,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-31,12 MM,3.33,42300.0,140859.0,1,1,1.2029723039923526,False,False,False,False,False,False,False,False,True,False,False,False
2017-05-31,12 MM,10.190000000000001,39949.05,555690.0,1,1,2.3214068472346336,False,False,False,False,False,False,False,False,True,False,False,False
