Date,Quantity
09-02-2018,10.19
10-02-2018,7.97
10-02-2018,5.35
12-02-2018,1.01
12-02-2018,10.19
12-02-2018,2.02
12-02-2018,0.67
12-02-2018,10.19
13-02-2018,3.97
13-02-2018,7.8
13-02-2018,0.49
13-02-2018,10.19
13-02-2018,5.19
13-02-2018,0.17
14-02-2018,0.51
15-02-2018,5.3
15-02-2018,2
15-02-2018,10.19
15-02-2018,1
15-02-2018,0.58
16-02-2018,10.19
16-02-2018,5.24
16-02-2018,4.02
16-02-2018,3.58
17-02-2018,0.25
17-02-2018,10.19
17-02-2018,10.19
17-02-2018,4.96
17-02-2018,10.19
19-02-2018,5.982
19-02-2018,2.91
20-02-2018,4.11
20-02-2018,7.97
20-02-2018,2
20-02-2018,5.32
20-02-2018,10.19
20-02-2018,10.19
20-02-2018,10.19
20-02-2018,5.13
21-02-2018,5.99
21-02-2018,1.99
21-02-2018,4.98
22-02-2018,5.18
22-02-2018,10.19
22-02-2018,1.07
22-02-2018,2.94
23-02-2018,10.19
23-02-2018,0.98
23-02-2018,4.27
23-02-2018,0.97
24-02-2018,10.19
24-02-2018,10.19
24-02-2018,4.29
26-02-2018,10.19
27-02-2018,5.27
27-02-2018,6.04
27-02-2018,10.19
27-02-2018,7.19
27-02-2018,10.19
27-02-2018,6.04
28-02-2018,10.19
28-02-2018,5.25
28-02-2018,4.53
28-02-2018,10.19
28-02-2018,10.19
01-03-2018,0.5
01-03-2018,8.18
03-03-2018,10.19
05-03-2018,5.36
06-03-2018,1.06
06-03-2018,0.75
06-03-2018,1.47
07-03-2018,3.09
07-03-2018,4.82
08-03-2018,6.03
08-03-2018,3.04
08-03-2018,1.01
08-03-2018,4.19
09-03-2018,2.68
09-03-2018,3.65
09-03-2018,3.93
09-03-2018,1.67
09-03-2018,0.33
10-03-2018,4.95
10-03-2018,10.19
10-03-2018,5.27
10-03-2018,5.21
10-03-2018,2.5
10-03-2018,1.83
12-03-2018,5.18
12-03-2018,10.19
12-03-2018,10.19
12-03-2018,1.98
12-03-2018,3
13-03-2018,3.5
13-03-2018,3.92
13-03-2018,5.24
14-03-2018,2.88
14-03-2018,10.06
14-03-2018,5
14-03-2018,5.12
14-03-2018,5.44
15-03-2018,1.53
15-03-2018,0.76
15-03-2018,0.81
15-03-2018,10.19
15-03-2018,8.05
16-03-2018,1.03
16-03-2018,1.09
17-03-2018,3.27
19-03-2018,1.01
19-03-2018,0.75
19-03-2018,0.5
19-03-2018,10.19
19-03-2018,10.19
20-03-2018,2.11
20-03-2018,10.19
20-03-2018,10.19
20-03-2018,0.75
21-03-2018,0.26
21-03-2018,3
21-03-2018,0.703
21-03-2018,10.19
22-03-2018,6.53
22-03-2018,1.99
22-03-2018,2.03
22-03-2018,10.19
23-03-2018,4.05
23-03-2018,0.06
23-03-2018,4.1
23-03-2018,4.96
23-03-2018,0.34
24-03-2018,4.41
24-03-2018,1.99
24-03-2018,1.01
24-03-2018,4.28
24-03-2018,3.99
24-03-2018,7.96
24-03-2018,1.08
26-03-2018,3.03
26-03-2018,0.26
26-03-2018,10.19
26-03-2018,3.1
27-03-2018,3.03
27-03-2018,2.94
27-03-2018,5.36
27-03-2018,2.52
28-03-2018,4.1
28-03-2018,10.19
28-03-2018,1.03
29-03-2018,2.02
29-03-2018,10.19
29-03-2018,3.94
29-03-2018,7.99
29-03-2018,10.19
29-03-2018,6.05
29-03-2018,10.19
29-03-2018,5.31
30-03-2018,3.01
31-03-2018,10.19
31-03-2018,1.6
31-03-2018,2.97
31-03-2018,3.91
31-03-2018,1.99
31-03-2018,2.41
31-03-2018,1.688
31-03-2018,9.41
02-04-2018,1
03-04-2018,0.32
04-04-2018,10.19
04-04-2018,4.11
04-04-2018,1.69
05-04-2018,3.85
05-04-2018,3
05-04-2018,0.75
05-04-2018,10.19
06-04-2018,5.39
06-04-2018,2.1
07-04-2018,3.81
07-04-2018,3.98
07-04-2018,5.28
07-04-2018,10.19
09-04-2018,1.26
09-04-2018,5.96
