Date,FY,Quantity,Value,April,August,December,February,January,July,June,March,May,November,October,September,t,t_square,log_Quantity
2017-04-30,FY 18,5.2,213200.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6486586255873816
2017-04-30,FY 18,2.97,125334.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.0885619528146082
2017-05-02,FY 18,5.23,219161.89,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1.6544112780768316
2017-05-02,FY 18,3.12,131040.0,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1.1378330018213911
2017-05-02,FY 18,0.99,41778.0,False,False,False,False,False,False,False,False,True,False,False,False,0,0,-0.01005033585350145
2017-05-02,FY 18,2.77,123819.0,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1.0188473201992472
2017-05-03,FY 18,1.52,64144.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.41871033485818504
2017-05-03,FY 18,10.4,412880.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.341805806147327
2017-05-03,FY 18,1.02,43044.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.01980262729617973
2017-05-04,FY 18,25.44,1016303.83,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.2363227384719213
2017-05-05,FY 18,21.5,918050.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.068052935133617
2017-05-05,FY 18,1.02,43044.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.01980262729617973
2017-05-05,FY 18,0.69,29118.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.37106368139083207
2017-05-06,FY 18,5.46,229320.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6974487897568136
2017-05-06,FY 18,5.03,212266.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6154199841116479
2017-05-06,FY 18,2.56,108032.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.9400072584914712
2017-05-08,FY 18,0.46,19412.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.7765287894989963
2017-05-08,FY 18,2.02,85244.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.7030975114131134
2017-05-08,FY 18,4.5,187875.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.5040773967762742
2017-05-08,FY 18,0.27,11340.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-1.3093333199837622
2017-05-08,FY 18,21.56,920612.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.070839746040796
